,이름,주소,구 이름
503,영등포시장점,서울 영등포구 영등포로35길 19 (영등포동6가),영등포구
504,영등포아크로타워점,"서울 영등포구 국회대로54길 10 (영등포동7가, 아크로타워 스퀘어)",영등포구
505,영등포에이스점,서울 영등포구 경인로 775 (문래동3가),영등포구
506,영등포점,서울 영등포구 영중로 16-1 (영등포동3가),영등포구
507,영등포중앙점,서울 영등포구 영중로 37 (영등포동4가),영등포구
508,영등포코레일점,"서울 영등포구 경인로 846 (영등포동, 영등포 민자역사)",영등포구
509,영등포홈플러스점,"서울 영등포구 당산로 42 (문래동3가, 홈플러스)",영등포구
510,한강성심병원점,서울 영등포구 버드나루로 51 (영등포동2가),영등포구
511,한국수출입은행점,"서울 영등포구 은행로 38 (여의도동, 한국수출입은행빌딩)",영등포구
512,힐스테이트클래시안점,"서울 영등포구 신길로28길 9 (신길동, 힐스테이트 클래시안)",영등포구
513,갈현점,서울 은평구 갈현로 268 (갈현동),은평구
514,구산사거리점,서울 은평구 서오릉로 195 (구산동),은평구
515,구산역점,서울 은평구 연서로 148 (대조동),은평구
516,구파발역점,"서울 은평구 진관2로 29-21 (진관동, 드림스퀘어)",은평구
517,녹번동점,"서울 은평구 진흥로 156 (녹번동, 신명빌딩)",은평구
518,녹번중앙점,"서울 은평구 통일로 635 (녹번동, 녹번동메카오피스텔)",은평구
519,독바위역점,"서울 은평구 불광로 128 (불광동, 배진하우스)",은평구
520,백련산아이파크점,"서울 은평구 응암로 264 (응암동, 서울빌딩)",은평구
521,본서부병원점,"서울 은평구 응암로 337 (응암동, 빛터룩스 빌딩)",은평구
522,불광역점,서울 은평구 통일로 731 (대조동),은평구
523,불광연서로점,서울 은평구 연서로 275 (불광동),은평구
524,불광중앙점,서울 은평구 불광로 59 (불광동),은평구
525,새절역점,서울 은평구 가좌로 272 (신사동),은평구
526,서광교회점,"서울 은평구 통일로 951 (갈현동, 서광교회)",은평구
527,수색역점,서울 은평구 수색로 250 (수색동),은평구
528,역촌동점,서울 은평구 갈현로 82 (역촌동),은평구
529,역촌사거리점,서울 은평구 서오릉로 100 (대조동),은평구
530,역촌역점,서울 은평구 진흥로 95 (역촌동),은평구
531,역촌진흥로점,서울 은평구 진흥로1길 3 (역촌동),은평구
532,연신내역점,서울 은평구 통일로 855-9 (갈현동),은평구
533,연신내중앙점,서울 은평구 통일로 825 (대조동),은평구
534,연신내통일로점,서울 은평구 통일로 876 (불광동),은평구
535,은평구청점,서울 은평구 은평로 197 (녹번동),은평구
536,은평뉴타운점,"서울 은평구 진관3로 70 (진관동, 은평뉴타운상림마을)",은평구
537,은평이마트점,"서울 은평구 은평로 111 (응암동, 은평이마트)",은평구
538,응암역점,"서울 은평구 연서로 9 (역촌동, 센타폴리스)",은평구
539,응암오거리점,서울 은평구 응암로 211 (응암동),은평구
540,응암중앙점,서울 은평구 응암로 183 (응암동),은평구
541,증산동점,서울 은평구 증산서길 78 (증산동),은평구
542,경복궁역점,"서울 종로구 자하문로 7 (체부동, 성명빌딩)",종로구
543,경복궁역점,서울 종로구 자하문로 7 (체부동),종로구
544,경희궁점,서울 종로구 경희궁1길 16 (신문로2가),종로구
545,광화문점,서울 종로구 세종대로23길 15 (도렴동),종로구
546,광화문트윈트리타워점,"서울 종로구 율곡로 6 (중학동, 트윈 트리 빌딩)",종로구
547,낙원동점,서울 종로구 낙원동 ,종로구
548,대학로점,서울 종로구 대학로10길 17 (동숭동),종로구
549,독립문역점,서울 종로구 통일로 266 (무악동),종로구
550,동대문역점,"서울 종로구 율곡로 286 (종로6가, 야드인빌딩)",종로구
551,동묘역점,서울 종로구 종로 354 (숭인동),종로구
552,방통대점,서울 종로구 대학로 81-1 (연건동),종로구
553,배화여대점,서울 종로구 필운대로1길 35 (필운동),종로구
554,북촌마을점,서울 종로구 북촌로5길 39 (화동),종로구
555,삼일빌딩점,서울 종로구 삼일대로15길 13 (관철동),종로구
556,상명대점,서울 종로구 홍지동,종로구
557,성균관대점,서울 종로구 성균관로 8 (명륜2가),종로구
558,숭인점,서울 종로구 숭인동길 6 (숭인동),종로구
559,신설점,서울 종로구 난계로29길 30 (숭인동),종로구
560,안국역사점,"서울 종로구 율곡로 지하 62 (안국동, 3호선 안국역)",종로구
561,종각점,서울 종로구 삼일대로19길 24 (관철동),종로구
562,종로3가점,서울 종로구 종로 126 (종로3가),종로구
563,종로4가점,서울 종로구 김상옥로 1 (인의동),종로구
564,종로5가점,서울 종로구 대학로 33 (효제동),종로구
565,종로교차로점,서울 종로구 동호로 406-1 (종로5가),종로구
566,종로구청점,서울 종로구 수송동,종로구
567,종로르메이에르점,서울 종로구 종로1가 르메이에르종로타운,종로구
568,종로삼일대로점,서울 종로구 삼일대로 390-1 (관철동),종로구
569,종로타워점,"서울 종로구 종로 51 (종로2가, 종로타워)",종로구
570,창덕궁점,서울 종로구 돈화문로 41-1 (묘동),종로구
571,창신동점,서울 종로구 종로 316-1 (창신동),종로구
572,창신중앙점 ,서울 종로구 지봉로 64 (숭인동),종로구
573,탑골공원점,서울 종로구 낙원동 ,종로구
574,혜화동로터리점,서울 종로구 혜화로 3-1 (혜화동),종로구
575,혜화역점,서울 종로구 창경궁로 258-15 (명륜2가),종로구
576,IBK본점,"서울 중구 을지로 79 (을지로2가, 기업은행)",중구
577,YTN점,서울 중구 세종대로1길 11 (봉래동1가),중구
578,광희동점,서울 중구 마른내로 165-1 (광희동1가),중구
579,다동점,서울 중구 다동길 46 (다동),중구
580,동국대후문점,"서울 중구 창경궁로 2 (충무로5가, 남경빌딩)",중구
581,동대문점,서울 중구 을지로43길 38 (을지로6가),중구
582,동대문팀204점,"서울 중구 마장로 30 (신당동, Team204)",중구
583,동평화점,서울 중구 청계천로 318 (신당동),중구
584,만리동고개점,"서울 중구 만리재로 175 (만리동2가, 서울역센트럴자이),402동 102호",중구
585,명동거리점,"서울 중구 명동8가길 7 (충무로2가, 프리엠상가)",중구
586,명동역점,서울 중구 퇴계로 103 (충무로1가),중구
587,명동중앙점,"서울 중구 명동7길 21 (을지로2가, 명동아르누보센텀)",중구
588,북창동점,서울 중구 남대문로1길 57-1 (태평로2가),중구
589,서소문점,서울 중구 서소문로11길 8 (서소문동),중구
590,서울시청점,"서울 중구 세종대로20길 23 (무교동, 원창빌딩)",중구
591,신당점,서울 중구 다산로35길 11 (신당동),중구
592,신당중앙점,서울 중구 퇴계로 455 (황학동),중구
593,약수역점,서울 중구 동호로 186-13 (신당동),중구
594,오장동점,서울 중구 마른내로 109-1 (오장동),중구
595,을지로3가점,서울 중구 수표로 45 (저동2가),중구
596,을지로중앙점,서울 중구 마른내로 49 (인현동1가),중구
597,정동점,서울 중구 정동길 2-1 (정동),중구
598,중림브라운스톤점,"서울 중구 청파로 464 (중림동, 브라운스톤서울)",중구
599,중림점,서울 중구 청파로 464 (중림동),중구
600,청구역점,서울 중구 다산로 181-2 (신당동),중구
601,충무로3가점,서울 중구 퇴계로27길 31 (충무로3가),중구
602,충무로점,서울 중구 퇴계로 188 (필동1가),중구
603,충무아트홀점,서울 중구 퇴계로 381-1 (신당동),중구
604,충무필동점,서울 중구 퇴계로 218-5 (필동2가),중구
605,충정로역점,"서울 중구 중림로 10 (중림동, 중림동 삼성 사이버 빌리지)",중구
606,태평로점,서울 중구 세종대로11길 26 (서소문동),중구
607,퇴계로2길점,서울 중구 퇴계로2길 1 (남창동),중구
608,한국은행점,서울 중구 남대문로 29-2 (남대문로3가),중구
609,황학롯데캐슬점,"서울 중구 청계천로 400 (황학동, 롯데캐슬베네치아)",중구
610,회현SK리더스점,"서울 중구 퇴계로 72 (회현동1가, 리더스뷰남산)",중구
611,강동고덕교차로점,"서울 강동구 고덕로 421 (강일동, 대한연세요양원)",강동구
612,강동구청점,"서울 강동구 성내로6길 20 (성내동, 청일 베르네)",강동구
613,강동성내점,서울 강동구 풍성로 162 (성내동),강동구
614,강동신명초교점,"서울 강동구 명일로 260 (길동, 길동신동아아파트)",강동구
615,강동역점,"서울 강동구 천호대로 1065 (천호동, 강동상떼빌)",강동구
616,강일점,"서울 강동구 아리수로93길 19 (강일동, 임페리얼타워)",강동구
617,고덕강일2지구점,서울 강동구 아리수로93나길 76 (강일동),강동구
618,고덕그라시움후문점,서울 강동구 동남로82길 121 (고덕동),강동구
619,고덕래미안힐스점,"서울 강동구 아리수로50길 50 (고덕동, 래미안힐스테이트고덕)",강동구
620,고덕점,"서울 강동구 동남로75길 19 (명일동, 명일빌딩)",강동구
621,굽은다리역점,서울 강동구 양재대로 1543 (천호동),강동구
622,길동사거리점,서울 강동구 천호대로 1132 (성내동),강동구
623,길동역점,서울 강동구 양재대로 1471 (길동),강동구
624,길동중앙점,서울 강동구 명일로 200 (길동),강동구
625,둔촌점,서울 강동구 양재대로 1377 (성내동),강동구
626,명일역점,"서울 강동구 구천면로 424 (명일동, 명일메가타운)",강동구
627,명일중앙점,"서울 강동구 상암로 210 (명일동, 명일현대종합상가)",강동구
628,보훈병원점,"서울 강동구 명일로 110 (둔촌동, 둔촌동암펠로스타워)",강동구
629,상일리엔파크점,"서울 강동구 상일로 74 (상일동, 고덕리엔파크3단지아파트)",강동구
630,암사3동점,"서울 강동구 고덕로 140 (암사동, 프라이어팰리스)",강동구
631,암사역점,"서울 강동구 올림픽로 782 (암사동, 501타워)",강동구
632,암사중앙점,"서울 강동구 암사길 50 (암사동, 제이빌더스)",강동구
633,올림픽북문점,서울 강동구 성안로 7 (성내동),강동구
634,천호1동점,"서울 강동구 구천면로34길 43 (천호동, 헤리티지)",강동구
635,천호로데오점,서울 강동구 천호대로 1027 (천호동),강동구
636,천호중앙점,"서울 강동구 올림픽로 660 (천호동, 천호엘크루주상복합)",강동구
637,천호초교사거리점,"서울 강동구 구천면로 304 (천호동, 일주빌딩)",강동구
638,천호현대점,서울 강동구 올림픽로 665 (천호동),강동구
639,개봉북부점,서울 구로구 경인로40길 12 (개봉동),구로구
640,개봉역점,서울 구로구 남부순환로97길 11 (개봉동),구로구
641,개봉중앙점,서울 구로구 개봉로3길 26 (개봉동),구로구
642,개봉현대점,서울 구로구 개봉로 69 (개봉동),구로구
643,고대구로병원점,서울 구로구 구로동로 157 (구로동),구로구
644,고척사거리점,"서울 구로구 고척로 228-6 (고척동, 종만빌딩)",구로구
645,고척스카이돔점,"서울 구로구 경인로 397 (고척동, 골든타워빌딩)",구로구
646,구로NC점,서울 구로구 구로동로 240 (구로동),구로구
647,구로고척점,"서울 구로구 고척로 149 (고척동, 상암빌딩)",구로구
648,구로구청점,"서울 구로구 가마산로25길 9 (구로동, 네오팰리스)",구로구
649,구로궁동점,서울 구로구 오리로 1304 (궁동) 1층,구로구
650,구로미성점,"서울 구로구 구로중앙로 228 (신도림동, 기임빌딩)",구로구
651,구로에이스점,서울 구로구 디지털로33길 11 (구로동),구로구
652,구로역광장점,"서울 구로구 경인로 572 (구로동, 스타팰리스)",구로구
653,구로이마트점,서울 구로구 디지털로32길 43 (구로동),구로구
654,구로중앙점,서울 구로구 도림로 79 (구로동),구로구
655,구로코레일점,"서울 구로구 구로중앙로 174 (구로동, 구로역)",구로구
656,구로하버라인점,"서울 구로구 항동로3길 6 (항동, 가온 프라자)",구로구
657,구일역점,"서울 구로구 구일로 110 (구로동, 해원리버파크)",구로구
658,남구로역점,서울 구로구 디지털로27길 127 (가리봉동),구로구
659,동양미래대학점,서울 구로구 경인로47길 14 (고척동),구로구
660,메르디앙고척점,"서울 구로구 중앙로8길 11 (고척동, 고척 월드메르디앙)",구로구
661,성공회대점,서울 구로구 연동로 312 (항동),구로구
662,신도림메르디앙점,"서울 구로구 신도림로 65 (신도림동, 신도림월드메르디앙오피스텔)",구로구
663,신도림테크노마트점,서울 구로구 새말로 97 (구로동),구로구
664,오류남부점,서울 구로구 오류로8길 65 (오류동),구로구
665,오류북부역점,서울 구로구 경인로20길 6 (오류동),구로구
666,천왕이펜하우스점,서울 구로구 천왕로 36 (천왕동),구로구
667,경희대점,서울 동대문구 경희대로 4 (회기동),동대문구
668,경희대캠퍼스점,"서울 동대문구 경희대로 26 (회기동, 경희대학교,경희초,중,고,여자중고등학교)",동대문구
669,답십리사거리점,서울 동대문구 답십리로 145 (답십리동),동대문구
670,답십리역점,서울 동대문구 천호대로 265 (답십리동),동대문구
671,답십리파크자이점,"서울 동대문구 한천로 55 (답십리동, 영진빌딩)",동대문구
672,동대문구청점,서울 동대문구 천호대로 153-1 (용두동),동대문구
673,동부병원사거리점,서울 동대문구 무학로 104 (용두동),동대문구
674,배봉초교사거리점,서울 동대문구 답십리로63길 131 (장안동),동대문구
675,서울시립대점,"서울 동대문구 서울시립대로 164 (전농동, 도석프라자)",동대문구
676,신설동역점,서울 동대문구 천호대로 11-3 (신설동),동대문구
677,용두동사거리점,서울 동대문구 왕산로 68 (용두동),동대문구
678,용두동점,서울 동대문구 고산자로 413-1 (용두동),동대문구
679,이문점 ,서울 동대문구 신이문로 19 (이문동),동대문구
680,장안동사거리점,서울 동대문구 답십리로 309 (장안동),동대문구
681,장안동점,서울 동대문구 장한로 43 (장안동),동대문구
682,장안중랑천점,서울 동대문구 장한로18길 32 (장안동),동대문구
683,장안중앙점,서울 동대문구 사가정로25길 42 (장안동),동대문구
684,장한평군자초교점,서울 동대문구 한천로2길 53 (장안동),동대문구
685,전농뉴타운점,서울 동대문구 답십리로 77 (전농동),동대문구
686,전농사거리점,서울 동대문구 사가정로 132 (전농동),동대문구
687,청량리점,서울 동대문구 왕산로 225 (청량리동),동대문구
688,촬영소사거리점,서울 동대문구 답십리로 264 (장안동),동대문구
689,회기역중앙점,서울 동대문구 회기로 194-1 (휘경동),동대문구
690,논골사거리점,서울 성동구 난계로 35 (금호동1가),성동구
691,뚝섬역점,서울 성동구 상원길 38-1 (성수동1가),성동구
692,마장동점,서울 성동구 고산자로 339-2 (마장동),성동구
693,마장역점,서울 성동구 마장로 293-1 (마장동),성동구
694,상왕십리역점,서울 성동구 무학봉15길 27 (하왕십리동),성동구
695,서울숲역점,서울 성동구 왕십리로 96-1 (성수동1가),성동구
696,성동구청점,서울 성동구 고산자로 269 (도선동),성동구
697,성수2가점,서울 성동구 성덕정길 106 (성수동2가),성동구
698,성수아카데미점,서울 성동구 성수이로 118 (성수동2가),성동구
699,성수우리W타워점,서울 성동구 아차산로15길 19 (성수동2가),성동구
700,성수중앙점,"서울 성동구 성수일로6길 47 (성수동2가, 현성빌딩)",성동구
701,신금호역점,서울 성동구 금호산길 64 (금호동2가),성동구
702,옥수동점,서울 성동구 매봉길 12 (옥수동),성동구
703,옥수역점,서울 성동구 한림말5길 9 (옥수동),성동구
704,왕십리비트플렉스점,서울 성동구 왕십리광장로 17 (행당동),성동구
705,왕십리센트라스점,서울 성동구 무학로 22 (홍익동),성동구
706,왕십리역점,서울 성동구 왕십리로 309 (행당동),성동구
707,응봉동점,"서울 성동구 독서당로 381 (응봉동, 현대종합상가)",성동구
708,장한평역점,서울 성동구 천호대로 426 (용답동),성동구
709,텐즈힐점,"서울 성동구 무학로 33 (하왕십리동, 텐즈힐)",성동구
710,행당동점,서울 성동구 고산자로 201 (행당동),성동구
711,IBK고객센터점,"서울 용산구 한남대로 72 (한남동, IBK기업은행고객센터)",용산구
712,동부이촌동점,서울 용산구 이촌로77길 19 (이촌동),용산구
713,동자동점,서울 용산구 후암로 93 (동자동),용산구
714,삼각지점,서울 용산구 한강대로 138 (한강로2가),용산구
715,숙대입구역점,서울 용산구 한강대로 289 (갈월동),용산구
716,순천향병원점,서울 용산구 대사관로 72 ,용산구
717,용문점,서울 용산구 원효로41길 73 (원효로2가),용산구
718,용산원효점,"서울 용산구 원효로 70 (원효로4가, 신정빌딩)",용산구
719,용산청파점,"서울 용산구 청파로71길 10 (청파동1가, 새마을금고)",용산구
720,용산효창점,서울 용산구 효창원로66길 2 (효창동),용산구
721,용산후암점,"서울 용산구 후암로 40-2 (후암동, 성원빌딩)",용산구
722,원효로점,서울 용산구 원효로 257 (원효로1가),용산구
723,이태원역점,서울 용산구 이태원로 176 (이태원동),용산구
