,이름,주소,구 이름
223,세이브존노원점,"서울 노원구 한글비석로 57 (하계동, 세이브존)",노원구
224,수락산역점,"서울 노원구 동일로 1689 (상계동, 하이베라스)",노원구
225,원자력병원점,서울 노원구 공릉로46길 6 (공릉동),노원구
226,월계이마트점,"서울 노원구 마들로3길 15 (월계동, 월계이마트)",노원구
227,월계인덕점,서울 노원구 광운로22길 39 (월계동),노원구
228,월계초교점,서울 노원구 월계동 ,노원구
229,은행사거리점,서울 노원구 중계로 201 (중계동),노원구
230,중계롯데우성점,서울 노원구 노원로22길 70 (중계동),노원구
231,중계본동점,서울 노원구 중계로14바길 2 (중계동),노원구
232,중계브라운스톤점,"서울 노원구 동일로203가길 29 (중계동, 브라운스톤중계)",노원구
233,중계점,서울 노원구 동일로204가길 34 (중계동),노원구
234,중계중앙점,서울 노원구 덕릉로73길 18 (중계동),노원구
235,태릉입구역점,"서울 노원구 공릉로 105 (공릉동, 성종빌딩)",노원구
236,하계온천점,서울 노원구 노원로 257 (하계동),노원구
237,하계을지점,서울 노원구 공릉로 326 (하계동),노원구
238,덕성여대점,서울 도봉구 삼양로 542 (쌍문동),도봉구
239,도봉구청점,"서울 도봉구 도봉로150길 43 (방학동, ESA 아파트)",도봉구
240,도봉보건소사거리점,서울 도봉구 해등로 157 (쌍문동),도봉구
241,도봉산점,서울 도봉구 도봉산길 18 (도봉동),도봉구
242,도봉역점,서울 도봉구 도봉로 823 (도봉동),도봉구
243,도봉중앙점,서울 도봉구 도봉로181길 18 (도봉동),도봉구
244,방학사거리점,서울 도봉구 도봉로 677 (방학동),도봉구
245,방학역점,서울 도봉구 도봉로153길 15 (방학동),도봉구
246,방학점,서울 도봉구 방학로 171 (방학동),도봉구
247,방학중앙점,서울 도봉구 도당로13길 22 (방학동),도봉구
248,선덕고사거리점,"서울 도봉구 해등로 255 (쌍문동, 에벤에셀아파트)",도봉구
249,솔밭공원역점,"서울 도봉구 삼양로 594 (쌍문동, 주함해븐빌)",도봉구
250,신창점,서울 도봉구 덕릉로 235 (창동),도봉구
251,쌍문동점,서울 도봉구 노해로 162 (쌍문동),도봉구
252,쌍문역점,서울 도봉구 도봉로117길 4 (쌍문동),도봉구
253,쌍문중앙점,서울 도봉구 도봉로 519 (쌍문동),도봉구
254,창동대우점,서울 도봉구 덕릉로63가길 30 (창동),도봉구
255,창동블루핀점,서울 도봉구 마들로 550 (창동),도봉구
256,창동역점,서울 도봉구 마들로11길 65 (창동),도봉구
257,창동제일점,서울 도봉구 노해로70길 81 (창동),도봉구
258,창동중앙점,서울 도봉구 노해로63길 78 (창동),도봉구
259,창동하나로마트점,"서울 도봉구 마들로11길 20 (창동, 농협창동유통센타)",도봉구
260,창동학원가점,서울 도봉구 해등로16길 61 (창동),도봉구
261,창동현대타운점,서울 도봉구 도봉로114길 22 (창동),도봉구
262,남성역점,서울 동작구 사당로17가길 13 (사당동),동작구
263,노들점,서울 동작구 노량진로 200 (노량진동),동작구
264,노량진CTS점,서울 동작구 노량진로 110 (노량진동),동작구
265,노량진드림스퀘어점,"서울 동작구 노들로2길 7 (노량진동, 노량진 드림스퀘어 복합빌딩)",동작구
266,노량진역사점,"서울 동작구 노량진로 지하 130 (노량진동, 9호선 노량진역)",동작구
267,대림성모점,서울 동작구 시흥대로 658 (신대방동),동작구
268,대방역점,"서울 동작구 노량진로 24 (대방동, 한신빌딩)",동작구
269,보라매공원점,서울 동작구 여의대방로 90 (신대방동),동작구
270,보라매점,"서울 동작구 보라매로5가길 16 (신대방동, 보라매아카데미타워)",동작구
271,사당역점,서울 동작구 동작대로7길 100 (사당동),동작구
272,사당점,서울 동작구 동작대로 45 (사당동),동작구
273,상도역점,서울 동작구 상도로 277 (상도1동),동작구
274,상도중앙점,서울 동작구 만양로 17 (상도동),동작구
275,상도파크엘점,"서울 동작구 양녕로 220 (상도동, 상도역 롯데캐슬 파크엘)",동작구
276,숭실대점,서울 동작구 사당로 2 (상도동),동작구
277,신대방삼거리점,서울 동작구 상도로 78 (대방동),동작구
278,신상도초교점,서울 동작구 양녕로 183 (상도동),동작구
279,이수중앙점,서울 동작구 사당로 285 (사당동),동작구
280,중앙대점,서울 동작구 흑석로 79 (흑석동),동작구
281,중앙대후문점,서울 동작구 흑석로 20 (상도동),동작구
282,총신대입구역점,서울 동작구 동작대로 119-1 (사당동),동작구
283,총신대점,"서울 동작구 사당로16가길 96 (사당동) 1,2층",동작구
284,해군회관점,서울 동작구 여의대방로 194 (대방동),동작구
285,흑석역점,서울 동작구 현충로 100-1 (흑석동),동작구
286,공덕롯데캐슬점,"서울 마포구 마포대로 109 (공덕동, 롯데캐슬프레지던트)",마포구
287,공덕점,서울 마포구 마포대로8길 15 (공덕동),마포구
288,광흥창역점,"서울 마포구 창전로 45 (창전동, 서강한화오벨리스크)",마포구
289,대흥역점,서울 마포구 백범로 100 (대흥동),마포구
290,동교중앙점,서울 마포구 동교로27길 8 (동교동),마포구
291,마포공덕역점,서울 마포구 새창로 6 (도화동),마포구
292,마포구청점,서울 마포구 월드컵로 196 (성산동),마포구
293,마포데시앙점,서울 마포구 독막로 320 (도화동),마포구
294,마포성산시영점,서울 마포구 월드컵북로 210 (성산동),마포구
295,마포점,서울 마포구 도화길 10 (도화동),마포구
296,망리단길점,"서울 마포구 포은로 81-1 (망원동, S-빌딩)",마포구
297,망원역점,서울 마포구 월드컵로 82-1 (서교동),마포구
298,망원중앙점,서울 마포구 월드컵로 147 (망원동),마포구
299,상수역점,서울 마포구 와우산로 41-1 (상수동),마포구
300,상암DMC점,서울 마포구 월드컵북로 396 (상암동),마포구
301,상암KBS점,서울 마포구 월드컵북로 375 (상암동),마포구
302,상암우리기술점,서울 마포구 월드컵북로56길 9 (상암동),마포구
303,상암한샘점,서울 마포구 성암로13길 58 (상암동),마포구
304,상암홈플러스점,서울 마포구 월드컵로 240 (성산동),마포구
305,서강대점,서울 마포구 백범로 34 (신수동),마포구
306,서교동점,서울 마포구 와우산로29길 70 (서교동),마포구
307,성산점,서울 마포구 월드컵북로 137 (성산동),마포구
308,성산중앙점,서울 마포구 성미산로 78 (성산동),마포구
309,신촌그랑자이점,"서울 마포구 대흥로 183 (대흥동, 신촌그랑자이 상가)",마포구
310,신촌로터리점,서울 마포구 서강로 135 (노고산동),마포구
311,신촌숲아이파크점,"서울 마포구 광성로 17 (신수동, 신촌숲아이파크)",마포구
312,신촌하나로마트점,"서울 마포구 신촌로 66 (노고산동, 농협중앙회)",마포구
313,애오개역점,서울 마포구 마포대로 208 (아현동),마포구
314,오벨리스크점,"서울 마포구 마포대로 33 (도화동, 마포 한화 오벨리스크)",마포구
315,한강공원로점 ,서울 마포구 망원로 21 (망원동),마포구
316,합정LIG점,서울 마포구 양화로1길 21 (합정동),마포구
317,합정동점,서울 마포구 양화로6길 90 (합정동),마포구
318,합정역사거리점,서울 마포구 독막로2길 5 (합정동),마포구
319,합정역점,서울 마포구 양화로11길 54 (서교동),마포구
320,합정홈플러스점,"서울 마포구 양화로 45 (서교동, 메세나폴리스)",마포구
321,홍대청기와점,서울 마포구 월드컵북로 7 (서교동),마포구
322,홍대학원가점,서울 마포구 와우산로 148 (창전동),마포구
323,홍익대점,"서울 마포구 홍익로 10 (서교동, 서교푸르지오)",마포구
324,가재울점,"서울 서대문구 수색로 100 (북가좌동, DMC래미안e편한세상)",서대문구
325,가재울중앙점,"서울 서대문구 가재울미래로 2 (남가좌동, DMC파크뷰자이)",서대문구
326,독립문통일로점,서울 서대문구 영천동 ,서대문구
327,동교동점,서울 서대문구 신촌로 5 (창천동),서대문구
328,명지대점,서울 서대문구 거북골로 35 (남가좌동),서대문구
329,명지전문대점,서울 서대문구 가좌로 140 (홍은동),서대문구
330,무악재역점,서울 서대문구 홍제동 ,서대문구
331,북가좌동점,서울 서대문구 증가로 257 (북가좌동),서대문구
332,서대문구청점,서울 서대문구 연희로 237 (연희동),서대문구
333,서대문점,서울 서대문구 냉천동,서대문구
334,신촌기차역점,서울 서대문구 신촌역로 35 (창천동),서대문구
335,신촌역점,서울 서대문구 신촌로 87-20 (창천동),서대문구
336,아현역점,"서울 서대문구 신촌로37길 10 (북아현동, 아현 메디컬)",서대문구
337,연남동점,서울 서대문구 연희로 42 (연희동),서대문구
338,연대서문점,서울 서대문구 연희로10길 86 (연희동),서대문구
339,연세대점,서울 서대문구 연세로12길 10 (창천동),서대문구
340,연세의료원ABMRC점,"서울 서대문구 연세로 50-1 (신촌동, 세브란스병원)",서대문구
341,연세의료원제중관점,"서울 서대문구 연세로 50-1 (신촌동, 세브란스병원)",서대문구
342,연희삼거리점,서울 서대문구 연희로 117 (연희동),서대문구
343,연희홍연길점,서울 서대문구 홍제천로 146-9 (연희동),서대문구
344,이화여대점,"서울 서대문구 이화여대길 26 (대현동, 이화빌딩)",서대문구
345,충정로3가점,"서울 서대문구 경기대로 26-26 (충정로3가, 더스타일하우스디센트럴)",서대문구
346,홍은사거리점,"서울 서대문구 통일로 510 (홍은동, 북한산 더샵)",서대문구
347,홍제역점,서울 서대문구 홍제동,서대문구
348,강남센트럴시티점,"서울 서초구 신반포로 176 (반포동, 센트럴시티)",서초구
349,교대역점,"서울 서초구 서초대로56길 22 (서초동, 성운빌딩)",서초구
350,교육개발원사거리점,"서울 서초구 바우뫼로 180 (양재동, 신송빌딩)",서초구
