,이름,주소,구 이름,브랜드
1274,성공회대점,서울 구로구 연동로 312 ,구로구,이디야
1275,신도림메르디앙점,서울 구로구 신도림로 65 ,구로구,이디야
1276,신도림테크노마트점,서울 구로구 새말로 97 ,구로구,이디야
1277,오류남부점,서울 구로구 오류로8길 65 ,구로구,이디야
1278,오류북부역점,서울 구로구 경인로20길 6 ,구로구,이디야
1279,천왕이펜하우스점,서울 구로구 천왕로 36 ,구로구,이디야
1280,경희대점,서울 동대문구 경희대로 4 ,동대문구,이디야
1281,경희대캠퍼스점,서울 동대문구 경희대로 26 ,동대문구,이디야
1282,답십리사거리점,서울 동대문구 답십리로 145 ,동대문구,이디야
1283,답십리역점,서울 동대문구 천호대로 265 ,동대문구,이디야
1284,답십리파크자이점,서울 동대문구 한천로 55 ,동대문구,이디야
1285,동대문구청점,서울 동대문구 천호대로 153-1 ,동대문구,이디야
1286,동부병원사거리점,서울 동대문구 무학로 104 ,동대문구,이디야
1287,배봉초교사거리점,서울 동대문구 답십리로63길 131 ,동대문구,이디야
1288,서울시립대점,서울 동대문구 서울시립대로 164 ,동대문구,이디야
1289,신설동역점,서울 동대문구 천호대로 11-3 ,동대문구,이디야
1290,용두동사거리점,서울 동대문구 왕산로 68 ,동대문구,이디야
1291,용두동점,서울 동대문구 고산자로 413-1 ,동대문구,이디야
1292,이문점 ,서울 동대문구 신이문로 19 ,동대문구,이디야
1293,장안동사거리점,서울 동대문구 답십리로 309 ,동대문구,이디야
1294,장안동점,서울 동대문구 장한로 43 ,동대문구,이디야
1295,장안중랑천점,서울 동대문구 장한로18길 32 ,동대문구,이디야
1296,장안중앙점,서울 동대문구 사가정로25길 42 ,동대문구,이디야
1297,장한평군자초교점,서울 동대문구 한천로2길 53 ,동대문구,이디야
1298,전농뉴타운점,서울 동대문구 답십리로 77 ,동대문구,이디야
1299,전농사거리점,서울 동대문구 사가정로 132 ,동대문구,이디야
1300,청량리점,서울 동대문구 왕산로 225 ,동대문구,이디야
1301,촬영소사거리점,서울 동대문구 답십리로 264 ,동대문구,이디야
1302,회기역중앙점,서울 동대문구 회기로 194-1 ,동대문구,이디야
1303,논골사거리점,서울 성동구 난계로 35 ,성동구,이디야
1304,뚝섬역점,서울 성동구 상원길 38-1 ,성동구,이디야
1305,마장동점,서울 성동구 고산자로 339-2 ,성동구,이디야
1306,마장역점,서울 성동구 마장로 293-1 ,성동구,이디야
1307,상왕십리역점,서울 성동구 무학봉15길 27 ,성동구,이디야
1308,서울숲역점,서울 성동구 왕십리로 96-1 ,성동구,이디야
1309,성동구청점,서울 성동구 고산자로 269 ,성동구,이디야
1310,성수2가점,서울 성동구 성덕정길 106 ,성동구,이디야
1311,성수아카데미점,서울 성동구 성수이로 118 ,성동구,이디야
1312,성수우리W타워점,서울 성동구 아차산로15길 19 ,성동구,이디야
1313,성수중앙점,서울 성동구 성수일로6길 47 ,성동구,이디야
1314,신금호역점,서울 성동구 금호산길 64 ,성동구,이디야
1315,옥수동점,서울 성동구 매봉길 12 ,성동구,이디야
1316,옥수역점,서울 성동구 한림말5길 9 ,성동구,이디야
1317,왕십리비트플렉스점,서울 성동구 왕십리광장로 17 ,성동구,이디야
1318,왕십리센트라스점,서울 성동구 무학로 22 ,성동구,이디야
1319,왕십리역점,서울 성동구 왕십리로 309 ,성동구,이디야
1320,응봉동점,서울 성동구 독서당로 381 ,성동구,이디야
1321,장한평역점,서울 성동구 천호대로 426 ,성동구,이디야
1322,텐즈힐점,서울 성동구 무학로 33 ,성동구,이디야
1323,행당동점,서울 성동구 고산자로 201 ,성동구,이디야
1324,IBK고객센터점,서울 용산구 한남대로 72 ,용산구,이디야
1325,동부이촌동점,서울 용산구 이촌로77길 19 ,용산구,이디야
1326,동자동점,서울 용산구 후암로 93 ,용산구,이디야
1327,삼각지점,서울 용산구 한강대로 138 ,용산구,이디야
1328,숙대입구역점,서울 용산구 한강대로 289 ,용산구,이디야
1329,순천향병원점,서울 용산구 대사관로 72 ,용산구,이디야
1330,용문점,서울 용산구 원효로41길 73 ,용산구,이디야
1331,용산원효점,서울 용산구 원효로 70 ,용산구,이디야
1332,용산청파점,서울 용산구 청파로71길 10 ,용산구,이디야
1333,용산효창점,서울 용산구 효창원로66길 2 ,용산구,이디야
1334,용산후암점,서울 용산구 후암로 40-2 ,용산구,이디야
1335,원효로점,서울 용산구 원효로 257 ,용산구,이디야
1336,이태원역점,서울 용산구 이태원로 176 ,용산구,이디야
